招录机关	部门代码	用人司局	招考职位	职位代码	调剂进入面试最低分数
中央办公厅	002000	毛主席纪念堂管理局	行政处一级主任科员及以下(二)	100210005005	123.20
中央办公厅	002000	毛主席纪念堂管理局	行政处一级主任科员及以下(二)	100210005005	123.20
中央档案馆国家档案局	003000	中国第一历史档案馆	行财处一级主任科员及以下	100210006001	122.50
中央对外联络部	009000	部内司局	英语翻译一	100110001003	106.70
中央对外联络部	009000	部内司局	英语翻译一	100110001003	106.70
中央对外联络部	009000	部内司局	英语翻译一	100110001003	106.70
中央对外联络部	009000	部内司局	英语翻译一	100110001003	106.70
中央对外联络部	009000	部内司局	英语翻译一	100110001003	106.70
中央对外联络部	009000	部内司局	英语翻译一	100110001003	106.70
中央对外联络部	009000	部内司局	英语翻译一	100110001003	106.70
中央对外联络部	009000	国际交流中心	英语翻译二	100210009001	117.20
中央对外联络部	009000	国际交流中心	英语翻译二	100210009001	117.20
中国延安干部学院	028000	中国延安干部学院办公厅	计划财务处一级主任科员及以下	100210001003	120.70
中国延安干部学院	028000	中国延安干部学院办公厅	计划财务处一级主任科员及以下	100210001003	120.70
中国贸促会	053000	发展研究部	一级主任科员及以下	100310111001	120.70
中国贸促会	053000	发展研究部	一级主任科员及以下	100310111001	120.70
中国贸促会	053000	发展研究部	一级主任科员及以下	100310111001	120.70
中国残联	054000	组织联络部	社区和志愿者工作处一级主任科员及以下	100310001001	114.80
中国残联	054000	组织联络部	社区和志愿者工作处一级主任科员及以下	100310001001	114.80
中国残联	054000	组织联络部	社区和志愿者工作处一级主任科员及以下	100310001001	114.80
中国残联	054000	组织联络部	社区和志愿者工作处一级主任科员及以下	100310001001	114.80
中国法学会	057000	机关部门	一级主任科员及以下	100310001001	108.20
中国法学会	057000	机关部门	一级主任科员及以下	100310001001	108.20
中国法学会	057000	机关部门	一级主任科员及以下	100310001001	108.20
中国法学会	057000	机关部门	一级主任科员及以下	100310001001	108.20
中国法学会	057000	机关部门	一级主任科员及以下	100310001001	108.20
广西壮族自治区通信管理局	107120	信息通信管理处	一级主任科员及以下	300110004001	119.40
广西壮族自治区通信管理局	107120	信息通信管理处	一级主任科员及以下	300110004001	119.40
公安部	109000	机关司局二十一	七处一级主任科员及以下	200130121002	59.17
公安部	109000	直属司局七	二处一级主任科员及以下	400130207002	59.79
哈尔滨铁路公安局	109201	哈尔滨铁路公安局	佳木斯铁路公安处基层所队民警	300130841019	54.71
沈阳铁路公安局	109202	沈阳铁路公安局	长春铁路公安处基层所队民警	300130842011	55.56
沈阳铁路公安局	109202	沈阳铁路公安局	长春铁路公安处基层所队民警	300130842016	57.30
沈阳铁路公安局	109202	沈阳铁路公安局	延边铁路公安处基层所队民警	300130842019	57.42
沈阳铁路公安局	109202	沈阳铁路公安局	延边铁路公安处基层所队民警	300130842019	57.42
沈阳铁路公安局	109202	沈阳铁路公安局	延边铁路公安处基层所队民警	300130842025	56.22
沈阳铁路公安局	109202	沈阳铁路公安局	延边铁路公安处基层所队民警	300130842025	56.22
北京铁路公安局	109203	北京铁路公安局	北京铁路公安处基层所队民警	300130843005	53.25
北京铁路公安局	109203	北京铁路公安局	北京铁路公安处基层所队民警	300130843005	53.25
北京铁路公安局	109203	北京铁路公安局	北京铁路公安处基层所队民警	300130843005	53.25
北京铁路公安局	109203	北京铁路公安局	北京铁路公安处基层所队民警	300130843005	53.25
北京铁路公安局	109203	北京铁路公安局	北京铁路公安处基层所队民警	300130843005	53.25
北京铁路公安局	109203	北京铁路公安局	北京铁路公安处基层所队民警	300130843005	53.25
北京铁路公安局	109203	北京铁路公安局	北京铁路公安处基层所队民警	300130843006	57.34
北京铁路公安局	109203	北京铁路公安局	北京铁路公安处基层所队民警	300130843008	50.76
北京铁路公安局	109203	北京铁路公安局	天津铁路公安处基层所队民警	300130843023	55.30
北京铁路公安局	109203	北京铁路公安局	天津铁路公安处基层所队民警	300130843023	55.30
北京铁路公安局	109203	北京铁路公安局	天津铁路公安处基层所队民警	300130843023	55.30
北京铁路公安局	109203	北京铁路公安局	天津铁路公安处基层所队民警	300130843023	55.30
北京铁路公安局	109203	北京铁路公安局	石家庄铁路公安处基层所队民警	300130843033	62.14
北京铁路公安局	109203	北京铁路公安局	石家庄铁路公安处基层所队民警	300130843038	53.93
呼和浩特铁路公安局	109205	呼和浩特铁路公安局	包头铁路公安处基层所队民警	300130845014	56.37
呼和浩特铁路公安局	109205	呼和浩特铁路公安局	包头铁路公安处基层所队民警	300130845014	56.37
呼和浩特铁路公安局	109205	呼和浩特铁路公安局	包头铁路公安处基层所队民警	300130845014	56.37
呼和浩特铁路公安局	109205	呼和浩特铁路公安局	包头铁路公安处基层所队民警	300130845014	56.37
呼和浩特铁路公安局	109205	呼和浩特铁路公安局	包头铁路公安处基层所队民警	300130845020	53.74
呼和浩特铁路公安局	109205	呼和浩特铁路公安局	包头铁路公安处基层所队民警	300130845020	53.74
呼和浩特铁路公安局	109205	呼和浩特铁路公安局	锡林浩特铁路公安处基层所队民警	300130845028	57.00
